model,sz,FUNSD_precision,FUNSD_recall,FUNSD_f1,CORD_precision,CORD_recall,CORD_f1
FS,1,18.77$\pm$5.35,29.03$\pm$7.52,22.03$\pm$5.15,26.5$\pm$9.06,35.58$\pm$11.17,30.37$\pm$10.02
Gat-closest-h4-d4,1,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,1,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0
FS,2,33.05$\pm$4.85,42.52$\pm$8.81,36.92$\pm$6.07,38.51$\pm$7.88,50.52$\pm$6.81,43.63$\pm$7.66
Gat-closest-h4-d4,2,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,2,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0
FS,3,47.09$\pm$5.12,55.78$\pm$10.82,50.84$\pm$7.29,43.35$\pm$6.77,56.15$\pm$4.62,48.84$\pm$6.11
Gat-closest-h4-d4,3,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,3,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0
FS,4,52.91$\pm$4.54,63.29$\pm$4.83,57.61$\pm$4.55,48.41$\pm$6.28,60.5$\pm$4.25,53.7$\pm$5.58
Gat-closest-h4-d4,4,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,4,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0
FS,5,57.4$\pm$4.44,67.78$\pm$2.31,62.11$\pm$3.42,52.05$\pm$5.68,63.7$\pm$3.79,57.23$\pm$4.95
Gat-closest-h4-d4,5,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,5,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0
FS,6,60.22$\pm$3.42,69.84$\pm$2.08,64.61$\pm$2.23,55.52$\pm$4.36,66.25$\pm$2.73,60.37$\pm$3.6
Gat-closest-h4-d4,6,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,6,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0
FS,7,63.56$\pm$1.45,72.56$\pm$2.41,67.72$\pm$0.89,57.9$\pm$2.22,67.88$\pm$1.96,62.48$\pm$1.95
Gat-closest-h4-d4,7,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,7,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0
FS,8,65.23$\pm$1.77,72.37$\pm$1.86,68.6$\pm$1.42,59.16$\pm$2.21,68.96$\pm$1.58,63.67$\pm$1.75
Gat-closest-h4-d4,8,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,8,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0
FS,9,65.66$\pm$2.27,72.85$\pm$3.51,69.02$\pm$2.29,62.51$\pm$2.6,70.86$\pm$1.94,66.42$\pm$2.24
Gat-closest-h4-d4,9,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,9,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0
FS,10,66.82$\pm$1.81,73.5$\pm$3.91,69.94$\pm$2.14,64.05$\pm$2.76,71.99$\pm$1.91,67.78$\pm$2.33
Gat-closest-h4-d4,10,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,10,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0
