model,sz,FUNSD_precision,FUNSD_recall,FUNSD_f1,CORD_precision,CORD_recall,CORD_f1
FS,1,20.49$\pm$5.64,27.93$\pm$11.21,22.71$\pm$6.97,27.78$\pm$10.21,37.24$\pm$12.5,31.8$\pm$11.23
Gat-closest-h4-d4,1,24.27$\pm$6.76,31.53$\pm$5.79,27.19$\pm$6.36,26.86$\pm$9.16,33.41$\pm$11.92,29.61$\pm$10.32
Gat-60-angles-h4-d4,1,21.6$\pm$5.64,29.18$\pm$7.03,24.58$\pm$5.91,25.79$\pm$8.29,33.94$\pm$10.36,29.21$\pm$9.1
FS,2,35.39$\pm$4.29,35.83$\pm$18.51,32.66$\pm$15.64,34.92$\pm$6.22,46.23$\pm$7.01,39.77$\pm$6.62
Gat-closest-h4-d4,2,38.63$\pm$6.55,42.39$\pm$20.66,38.07$\pm$16.16,35.74$\pm$7.49,45.66$\pm$7.52,40.06$\pm$7.63
Gat-60-angles-h4-d4,2,35.74$\pm$6.11,42.65$\pm$20.53,36.14$\pm$15.32,34.61$\pm$7.86,44.66$\pm$7.86,38.96$\pm$7.98
FS,3,47.56$\pm$7.08,48.91$\pm$20.4,46.44$\pm$15.39,38.41$\pm$7.04,49.28$\pm$7.18,43.14$\pm$7.23
Gat-closest-h4-d4,3,49.56$\pm$5.6,53.28$\pm$18.71,48.78$\pm$12.16,38.11$\pm$8.29,48.37$\pm$8.5,42.6$\pm$8.52
Gat-60-angles-h4-d4,3,49.81$\pm$5.13,54.67$\pm$18.4,49.61$\pm$11.33,37.1$\pm$7.29,47.48$\pm$7.39,41.63$\pm$7.46
FS,4,52.17$\pm$4.15,55.66$\pm$14.57,52.7$\pm$9.16,39.67$\pm$5.88,50.4$\pm$5.74,44.37$\pm$5.89
Gat-closest-h4-d4,4,52.78$\pm$3.15,59.79$\pm$15.62,54.86$\pm$9.4,41.4$\pm$6.18,50.37$\pm$6.98,45.44$\pm$6.54
Gat-60-angles-h4-d4,4,51.94$\pm$3.26,57.68$\pm$17.79,52.99$\pm$11.59,41.06$\pm$5.65,50.41$\pm$6.69,45.26$\pm$6.12
FS,5,49.22$\pm$4.03,50.55$\pm$20.02,47.18$\pm$15.26,40.63$\pm$4.27,50.49$\pm$4.64,45.02$\pm$4.41
Gat-closest-h4-d4,5,53.97$\pm$2.55,62.4$\pm$13.77,57.18$\pm$8.11,46.03$\pm$2.61,54.38$\pm$4.26,49.83$\pm$3.18
Gat-60-angles-h4-d4,5,52.76$\pm$2.94,62.2$\pm$10.12,56.73$\pm$5.68,42.64$\pm$2.68,51.3$\pm$3.95,46.55$\pm$3.08
FS,6,53.92$\pm$6.48,55.82$\pm$18.54,53.07$\pm$13.76,42.95$\pm$1.49,52.35$\pm$2.21,47.18$\pm$1.7
Gat-closest-h4-d4,6,57.38$\pm$1.55,60.47$\pm$17.35,57.0$\pm$11.24,48.5$\pm$3.03,56.87$\pm$3.22,52.34$\pm$3.02
Gat-60-angles-h4-d4,6,56.16$\pm$4.42,57.63$\pm$18.81,54.03$\pm$12.75,47.54$\pm$3.85,56.64$\pm$4.42,51.68$\pm$4.05
FS,7,57.1$\pm$4.51,56.15$\pm$21.99,53.39$\pm$17.84,42.24$\pm$4.4,50.24$\pm$4.54,45.88$\pm$4.46
Gat-closest-h4-d4,7,59.88$\pm$3.39,56.93$\pm$21.57,54.81$\pm$16.92,47.88$\pm$4.21,56.37$\pm$5.16,51.77$\pm$4.59
Gat-60-angles-h4-d4,7,59.2$\pm$4.84,57.03$\pm$21.51,54.38$\pm$16.11,48.82$\pm$4.1,57.3$\pm$4.27,52.71$\pm$4.15
FS,8,59.2$\pm$7.21,53.58$\pm$20.93,52.49$\pm$16.81,49.08$\pm$2.39,58.83$\pm$2.82,53.5$\pm$2.5
Gat-closest-h4-d4,8,62.36$\pm$5.59,56.38$\pm$19.73,55.89$\pm$14.9,48.91$\pm$4.89,57.52$\pm$4.6,52.85$\pm$4.74
Gat-60-angles-h4-d4,8,60.75$\pm$3.4,56.67$\pm$20.86,55.64$\pm$15.59,47.46$\pm$5.59,55.31$\pm$5.43,51.07$\pm$5.5
FS,9,60.19$\pm$3.81,53.05$\pm$16.61,54.51$\pm$12.02,49.33$\pm$3.9,58.84$\pm$4.63,53.66$\pm$4.19
Gat-closest-h4-d4,9,62.29$\pm$2.42,56.61$\pm$19.95,56.91$\pm$14.55,48.83$\pm$4.58,55.98$\pm$4.27,52.14$\pm$4.4
Gat-60-angles-h4-d4,9,61.6$\pm$3.11,58.15$\pm$19.82,56.99$\pm$14.18,48.66$\pm$4.47,56.37$\pm$4.07,52.22$\pm$4.3
FS,10,61.14$\pm$5.68,48.63$\pm$20.79,50.3$\pm$19.05,49.9$\pm$3.21,58.7$\pm$3.53,53.93$\pm$3.24
Gat-closest-h4-d4,10,61.51$\pm$3.34,57.4$\pm$19.71,56.99$\pm$14.25,48.22$\pm$4.65,55.83$\pm$4.57,51.73$\pm$4.59
Gat-60-angles-h4-d4,10,57.6$\pm$3.26,56.17$\pm$18.98,54.83$\pm$13.85,48.65$\pm$3.32,56.44$\pm$3.69,52.24$\pm$3.38
