model,sz,FUNSD_precision,FUNSD_recall,FUNSD_f1,CORD_precision,CORD_recall,CORD_f1
FS,1,23.02$\pm$4.99,38.21$\pm$7.38,28.58$\pm$5.58,29.36$\pm$8.98,38.78$\pm$11.28,33.39$\pm$9.96
Gat-closest-h4-d4,1,28.36$\pm$8.19,37.68$\pm$8.49,32.22$\pm$8.42,28.89$\pm$10.04,34.54$\pm$12.06,31.38$\pm$10.87
Gat-60-angles-h4-d4,1,24.91$\pm$6.49,33.6$\pm$6.24,28.45$\pm$6.45,29.01$\pm$8.78,36.91$\pm$11.07,32.44$\pm$9.73
FS,2,42.26$\pm$5.99,52.51$\pm$12.5,46.08$\pm$7.78,37.31$\pm$7.0,48.3$\pm$7.84,42.08$\pm$7.44
Gat-closest-h4-d4,2,48.01$\pm$5.89,56.2$\pm$9.85,51.3$\pm$5.85,36.58$\pm$8.68,45.48$\pm$8.79,40.5$\pm$8.84
Gat-60-angles-h4-d4,2,44.76$\pm$6.56,55.14$\pm$10.75,48.79$\pm$6.24,36.37$\pm$8.48,45.6$\pm$8.56,40.41$\pm$8.61
FS,3,57.05$\pm$6.82,68.28$\pm$9.81,62.07$\pm$7.8,40.21$\pm$7.69,51.06$\pm$7.89,44.96$\pm$7.91
Gat-closest-h4-d4,3,57.89$\pm$5.63,69.01$\pm$8.64,62.82$\pm$6.23,38.0$\pm$7.41,46.87$\pm$6.55,41.93$\pm$7.18
Gat-60-angles-h4-d4,3,57.55$\pm$5.52,68.77$\pm$8.76,62.52$\pm$6.26,38.12$\pm$7.05,47.01$\pm$6.01,42.06$\pm$6.75
FS,4,60.56$\pm$4.82,73.53$\pm$3.67,66.38$\pm$4.21,43.18$\pm$5.98,54.28$\pm$6.11,48.09$\pm$6.12
Gat-closest-h4-d4,4,63.35$\pm$3.76,75.37$\pm$3.72,68.75$\pm$2.75,42.21$\pm$3.88,50.8$\pm$4.81,46.1$\pm$4.26
Gat-60-angles-h4-d4,4,62.34$\pm$2.54,73.68$\pm$4.2,67.43$\pm$1.81,41.22$\pm$4.26,50.29$\pm$5.3,45.31$\pm$4.72
FS,5,61.49$\pm$5.51,72.08$\pm$5.24,66.23$\pm$4.67,44.23$\pm$3.69,54.53$\pm$4.55,48.84$\pm$4.06
Gat-closest-h4-d4,5,65.32$\pm$2.71,76.19$\pm$2.51,70.28$\pm$1.59,45.93$\pm$3.97,53.57$\pm$6.37,49.43$\pm$4.94
Gat-60-angles-h4-d4,5,64.99$\pm$3.15,76.7$\pm$2.04,70.31$\pm$1.99,44.05$\pm$3.33,52.31$\pm$5.36,47.81$\pm$4.15
FS,6,64.95$\pm$5.43,75.44$\pm$3.8,69.73$\pm$4.33,46.98$\pm$2.75,57.0$\pm$3.78,51.5$\pm$3.17
Gat-closest-h4-d4,6,67.79$\pm$3.08,77.17$\pm$2.57,72.1$\pm$1.79,48.4$\pm$3.86,56.21$\pm$5.0,52.0$\pm$4.29
Gat-60-angles-h4-d4,6,68.16$\pm$2.28,76.86$\pm$2.9,72.17$\pm$1.01,47.15$\pm$4.33,55.55$\pm$5.44,51.0$\pm$4.78
FS,7,68.37$\pm$3.81,77.84$\pm$3.87,72.69$\pm$2.7,46.49$\pm$4.1,55.36$\pm$4.6,50.53$\pm$4.3
Gat-closest-h4-d4,7,70.19$\pm$1.41,77.42$\pm$5.64,73.49$\pm$2.44,48.49$\pm$4.25,56.47$\pm$5.5,52.17$\pm$4.77
Gat-60-angles-h4-d4,7,69.58$\pm$2.16,77.75$\pm$5.28,73.31$\pm$2.44,47.74$\pm$3.53,55.59$\pm$4.83,51.36$\pm$4.07
FS,8,69.32$\pm$3.64,76.63$\pm$3.2,72.73$\pm$2.73,51.08$\pm$4.11,60.32$\pm$4.04,55.31$\pm$4.06
Gat-closest-h4-d4,8,71.03$\pm$2.31,77.65$\pm$4.68,74.1$\pm$2.48,48.04$\pm$4.21,55.85$\pm$4.16,51.64$\pm$4.16
Gat-60-angles-h4-d4,8,71.1$\pm$2.54,77.67$\pm$5.16,74.11$\pm$2.39,45.95$\pm$2.98,53.31$\pm$3.09,49.35$\pm$2.98
FS,9,72.54$\pm$1.87,78.33$\pm$2.21,75.28$\pm$0.76,50.81$\pm$3.83,60.27$\pm$4.2,55.13$\pm$3.97
Gat-closest-h4-d4,9,72.84$\pm$2.07,78.18$\pm$5.29,75.35$\pm$3.15,48.22$\pm$4.33,55.26$\pm$4.54,51.5$\pm$4.42
Gat-60-angles-h4-d4,9,72.76$\pm$1.77,79.83$\pm$3.38,76.06$\pm$1.41,46.77$\pm$2.86,53.88$\pm$2.39,50.07$\pm$2.65
FS,10,72.21$\pm$3.42,77.64$\pm$3.33,74.79$\pm$2.92,50.95$\pm$5.71,59.18$\pm$6.42,54.76$\pm$6.04
Gat-closest-h4-d4,10,72.25$\pm$2.25,79.62$\pm$2.84,75.72$\pm$2.01,48.32$\pm$4.61,54.95$\pm$4.87,51.42$\pm$4.71
Gat-60-angles-h4-d4,10,71.1$\pm$2.64,78.45$\pm$3.03,74.51$\pm$1.28,48.14$\pm$4.48,55.23$\pm$4.66,51.43$\pm$4.55
