model,sz,FUNSD_precision,FUNSD_recall,FUNSD_f1,CORD_precision,CORD_recall,CORD_f1
FS,1,22.77$\pm$6.19,39.08$\pm$6.17,28.54$\pm$6.32,35.02$\pm$5.62,45.58$\pm$6.38,39.59$\pm$5.97
Gat-closest-h4-d4,1,29.27$\pm$8.4,35.48$\pm$7.31,31.6$\pm$7.42,37.63$\pm$6.5,48.02$\pm$6.53,42.16$\pm$6.58
Gat-60-angles-h4-d4,1,26.57$\pm$6.92,31.92$\pm$5.85,28.23$\pm$5.22,36.59$\pm$6.84,47.55$\pm$7.1,41.33$\pm$7.04
FS,2,43.63$\pm$6.0,57.91$\pm$7.1,49.61$\pm$5.82,45.42$\pm$5.89,57.06$\pm$4.86,50.54$\pm$5.58
Gat-closest-h4-d4,2,49.77$\pm$5.96,58.12$\pm$8.74,53.38$\pm$6.03,47.25$\pm$5.36,58.45$\pm$3.78,52.21$\pm$4.83
Gat-60-angles-h4-d4,2,46.66$\pm$6.96,56.52$\pm$9.13,50.77$\pm$6.38,47.1$\pm$4.77,58.96$\pm$3.28,52.33$\pm$4.27
FS,3,59.18$\pm$5.47,71.13$\pm$7.69,64.56$\pm$6.19,49.65$\pm$6.17,60.74$\pm$5.04,54.6$\pm$5.79
Gat-closest-h4-d4,3,60.92$\pm$5.1,71.41$\pm$7.01,65.63$\pm$5.17,50.89$\pm$6.55,62.03$\pm$5.03,55.86$\pm$6.04
Gat-60-angles-h4-d4,3,60.11$\pm$5.74,70.97$\pm$7.59,64.95$\pm$5.7,50.7$\pm$6.24,61.63$\pm$4.9,55.59$\pm$5.78
FS,4,64.19$\pm$4.05,76.69$\pm$2.15,69.84$\pm$3.06,51.89$\pm$4.56,62.81$\pm$3.28,56.8$\pm$4.06
Gat-closest-h4-d4,4,66.54$\pm$3.76,77.37$\pm$2.21,71.49$\pm$2.64,54.57$\pm$3.53,64.52$\pm$2.61,59.12$\pm$3.15
Gat-60-angles-h4-d4,4,64.95$\pm$3.76,75.62$\pm$3.13,69.82$\pm$2.8,53.38$\pm$3.76,63.92$\pm$3.09,58.17$\pm$3.48
FS,5,65.24$\pm$5.28,76.22$\pm$2.31,70.25$\pm$3.91,55.8$\pm$3.26,64.55$\pm$2.56,59.84$\pm$2.87
Gat-closest-h4-d4,5,68.75$\pm$2.92,78.33$\pm$1.07,73.2$\pm$1.88,57.85$\pm$3.07,66.35$\pm$1.9,61.79$\pm$2.47
Gat-60-angles-h4-d4,5,69.01$\pm$1.15,79.61$\pm$0.91,73.92$\pm$0.78,57.25$\pm$3.62,66.28$\pm$2.42,61.42$\pm$3.07
FS,6,69.83$\pm$3.35,79.38$\pm$0.83,74.27$\pm$2.15,58.31$\pm$3.03,66.69$\pm$2.61,62.21$\pm$2.81
Gat-closest-h4-d4,6,71.32$\pm$3.99,79.73$\pm$2.15,75.25$\pm$2.83,59.66$\pm$4.81,67.8$\pm$3.63,63.45$\pm$4.27
Gat-60-angles-h4-d4,6,71.59$\pm$3.73,80.45$\pm$1.85,75.73$\pm$2.64,59.43$\pm$4.31,68.04$\pm$3.2,63.43$\pm$3.8
FS,7,71.59$\pm$3.23,80.38$\pm$1.11,75.67$\pm$1.51,59.19$\pm$3.8,67.17$\pm$3.15,62.92$\pm$3.5
Gat-closest-h4-d4,7,73.07$\pm$2.27,80.25$\pm$1.78,76.46$\pm$1.3,60.75$\pm$4.01,68.81$\pm$3.0,64.52$\pm$3.56
Gat-60-angles-h4-d4,7,73.72$\pm$2.68,81.35$\pm$2.49,77.3$\pm$1.77,60.74$\pm$3.97,68.74$\pm$2.91,64.48$\pm$3.5
FS,8,72.42$\pm$2.23,79.63$\pm$2.71,75.84$\pm$2.22,61.95$\pm$3.27,69.55$\pm$2.17,65.52$\pm$2.8
Gat-closest-h4-d4,8,75.22$\pm$1.76,81.37$\pm$2.08,78.13$\pm$0.66,62.27$\pm$3.61,69.62$\pm$2.56,65.73$\pm$3.13
Gat-60-angles-h4-d4,8,75.91$\pm$2.16,82.18$\pm$2.17,78.88$\pm$1.14,62.29$\pm$3.79,69.35$\pm$2.49,65.62$\pm$3.19
FS,9,74.89$\pm$1.85,80.89$\pm$1.58,77.76$\pm$1.33,63.08$\pm$2.65,70.85$\pm$1.64,66.73$\pm$2.21
Gat-closest-h4-d4,9,76.48$\pm$1.54,81.32$\pm$2.29,78.8$\pm$1.45,64.07$\pm$3.1,70.86$\pm$1.54,67.28$\pm$2.38
Gat-60-angles-h4-d4,9,76.01$\pm$2.41,82.8$\pm$1.89,79.23$\pm$1.57,63.82$\pm$3.43,70.6$\pm$2.02,67.02$\pm$2.8
FS,10,74.9$\pm$2.59,80.78$\pm$2.42,77.72$\pm$2.41,64.14$\pm$3.11,70.96$\pm$2.38,67.37$\pm$2.73
Gat-closest-h4-d4,10,76.62$\pm$2.12,82.62$\pm$2.2,79.47$\pm$1.43,64.52$\pm$3.04,70.6$\pm$2.16,67.42$\pm$2.62
Gat-60-angles-h4-d4,10,75.83$\pm$2.93,82.63$\pm$1.98,79.05$\pm$1.9,64.38$\pm$2.42,70.75$\pm$1.51,67.41$\pm$1.97
