model,sz,FUNSD_precision,FUNSD_recall,FUNSD_f1,CORD_precision,CORD_recall,CORD_f1
FS,1,12.98$\pm$4.34,25.93$\pm$11.09,17.13$\pm$6.07,18.55$\pm$6.69,25.77$\pm$9.24,21.56$\pm$7.73
Gat-closest-h4-d4,1,12.26$\pm$5.06,24.53$\pm$7.71,15.98$\pm$5.47,12.26$\pm$5.06,24.53$\pm$7.71,15.98$\pm$5.47
Gat-60-angles-h4-d4,1,11.64$\pm$4.93,23.64$\pm$7.3,15.35$\pm$5.63,11.64$\pm$4.93,23.64$\pm$7.3,15.35$\pm$5.63
FS,2,21.64$\pm$1.64,35.28$\pm$4.24,26.68$\pm$1.76,34.96$\pm$6.73,45.7$\pm$7.17,39.59$\pm$7.03
Gat-closest-h4-d4,2,18.99$\pm$3.61,32.48$\pm$6.34,23.66$\pm$3.68,18.99$\pm$3.61,32.48$\pm$6.34,23.66$\pm$3.68
Gat-60-angles-h4-d4,2,18.64$\pm$3.37,32.87$\pm$5.17,23.54$\pm$3.37,18.64$\pm$3.37,32.87$\pm$5.17,23.54$\pm$3.37
FS,3,25.22$\pm$3.22,39.0$\pm$5.37,30.57$\pm$3.76,41.0$\pm$8.37,51.07$\pm$8.35,45.46$\pm$8.48
Gat-closest-h4-d4,3,23.94$\pm$5.3,36.95$\pm$7.01,28.98$\pm$5.84,23.94$\pm$5.3,36.95$\pm$7.01,28.98$\pm$5.84
Gat-60-angles-h4-d4,3,22.9$\pm$5.25,36.93$\pm$7.2,28.21$\pm$5.93,22.9$\pm$5.25,36.93$\pm$7.2,28.21$\pm$5.93
FS,4,27.53$\pm$2.92,42.83$\pm$2.68,33.48$\pm$2.83,45.89$\pm$7.84,55.04$\pm$8.69,50.05$\pm$8.25
Gat-closest-h4-d4,4,26.34$\pm$4.11,41.72$\pm$3.35,32.23$\pm$3.99,26.34$\pm$4.11,41.72$\pm$3.35,32.23$\pm$3.99
Gat-60-angles-h4-d4,4,25.51$\pm$4.16,40.77$\pm$3.76,31.31$\pm$4.07,25.51$\pm$4.16,40.77$\pm$3.76,31.31$\pm$4.07
FS,5,31.57$\pm$2.56,46.77$\pm$2.14,37.65$\pm$2.2,48.51$\pm$8.28,57.32$\pm$10.11,52.54$\pm$9.07
Gat-closest-h4-d4,5,29.04$\pm$1.79,43.07$\pm$3.42,34.63$\pm$1.92,29.04$\pm$1.79,43.07$\pm$3.42,34.63$\pm$1.92
Gat-60-angles-h4-d4,5,28.58$\pm$1.82,43.38$\pm$2.99,34.4$\pm$1.7,28.58$\pm$1.82,43.38$\pm$2.99,34.4$\pm$1.7
FS,6,33.75$\pm$2.19,47.2$\pm$2.54,39.32$\pm$2.06,52.88$\pm$4.84,61.41$\pm$4.86,56.82$\pm$4.82
Gat-closest-h4-d4,6,32.92$\pm$2.34,46.05$\pm$3.35,38.35$\pm$2.37,32.92$\pm$2.34,46.05$\pm$3.35,38.35$\pm$2.37
Gat-60-angles-h4-d4,6,32.42$\pm$1.57,46.4$\pm$3.64,38.12$\pm$1.94,32.42$\pm$1.57,46.4$\pm$3.64,38.12$\pm$1.94
FS,7,35.27$\pm$2.7,49.24$\pm$4.49,41.01$\pm$2.77,54.95$\pm$3.64,62.66$\pm$4.0,58.55$\pm$3.78
Gat-closest-h4-d4,7,34.3$\pm$3.29,47.59$\pm$6.23,39.77$\pm$3.93,34.3$\pm$3.29,47.59$\pm$6.23,39.77$\pm$3.93
Gat-60-angles-h4-d4,7,34.38$\pm$3.5,48.62$\pm$5.99,40.22$\pm$4.18,34.38$\pm$3.5,48.62$\pm$5.99,40.22$\pm$4.18
FS,8,37.3$\pm$3.55,49.52$\pm$4.89,42.52$\pm$3.93,57.38$\pm$1.86,65.32$\pm$1.54,61.08$\pm$1.57
Gat-closest-h4-d4,8,36.5$\pm$3.57,48.13$\pm$5.55,41.5$\pm$4.31,36.5$\pm$3.57,48.13$\pm$5.55,41.5$\pm$4.31
Gat-60-angles-h4-d4,8,36.37$\pm$3.46,48.5$\pm$5.47,41.56$\pm$4.25,36.37$\pm$3.46,48.5$\pm$5.47,41.56$\pm$4.25
FS,9,37.3$\pm$3.41,49.74$\pm$4.26,42.6$\pm$3.61,58.77$\pm$2.22,66.52$\pm$1.09,62.39$\pm$1.62
Gat-closest-h4-d4,9,37.73$\pm$2.93,49.13$\pm$5.44,42.64$\pm$3.74,37.73$\pm$2.93,49.13$\pm$5.44,42.64$\pm$3.74
Gat-60-angles-h4-d4,9,36.85$\pm$3.16,49.72$\pm$5.55,42.29$\pm$3.92,36.85$\pm$3.16,49.72$\pm$5.55,42.29$\pm$3.92
FS,10,38.65$\pm$3.64,51.1$\pm$4.77,43.98$\pm$3.93,60.22$\pm$2.28,67.73$\pm$1.59,63.75$\pm$1.9
Gat-closest-h4-d4,10,38.07$\pm$3.53,49.72$\pm$4.94,43.09$\pm$3.93,38.07$\pm$3.53,49.72$\pm$4.94,43.09$\pm$3.93
Gat-60-angles-h4-d4,10,38.41$\pm$3.36,49.86$\pm$5.55,43.35$\pm$4.06,38.41$\pm$3.36,49.86$\pm$5.55,43.35$\pm$4.06
