model,sz,FUNSD_precision,FUNSD_recall,FUNSD_f1,CORD_precision,CORD_recall,CORD_f1
FS,1,23.0$\pm$6.61,39.01$\pm$6.29,28.73$\pm$6.78,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,1,28.67$\pm$8.22,35.05$\pm$7.15,31.11$\pm$7.41,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,1,25.7$\pm$6.47,31.46$\pm$5.82,27.68$\pm$5.29,0$\pm$0,0$\pm$0,0$\pm$0
FS,2,44.7$\pm$5.51,59.32$\pm$6.64,50.83$\pm$5.4,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,2,49.14$\pm$5.83,59.08$\pm$8.17,53.49$\pm$6.1,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,2,45.85$\pm$7.04,57.32$\pm$8.98,50.67$\pm$6.85,0$\pm$0,0$\pm$0,0$\pm$0
FS,3,58.93$\pm$4.39,70.93$\pm$6.94,64.34$\pm$5.32,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,3,61.87$\pm$4.59,72.39$\pm$6.67,66.65$\pm$5.06,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,3,60.3$\pm$4.58,71.43$\pm$6.8,65.33$\pm$5.14,0$\pm$0,0$\pm$0,0$\pm$0
FS,4,63.28$\pm$3.89,76.19$\pm$2.32,69.09$\pm$2.94,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,4,66.83$\pm$2.86,77.76$\pm$2.81,71.86$\pm$2.55,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,4,64.61$\pm$2.66,75.56$\pm$4.04,69.61$\pm$2.79,0$\pm$0,0$\pm$0,0$\pm$0
FS,5,65.26$\pm$5.02,76.6$\pm$2.48,70.43$\pm$3.89,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,5,68.89$\pm$2.49,78.46$\pm$2.54,73.34$\pm$2.26,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,5,69.37$\pm$1.69,80.1$\pm$1.84,74.34$\pm$1.53,0$\pm$0,0$\pm$0,0$\pm$0
FS,6,69.42$\pm$4.24,79.6$\pm$1.43,74.13$\pm$2.98,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,6,70.97$\pm$3.67,80.13$\pm$2.04,75.25$\pm$2.83,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,6,71.64$\pm$3.85,80.62$\pm$2.01,75.84$\pm$2.9,0$\pm$0,0$\pm$0,0$\pm$0
FS,7,71.03$\pm$3.61,80.16$\pm$1.07,75.27$\pm$2.2,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,7,73.57$\pm$1.77,81.53$\pm$1.31,77.33$\pm$1.26,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,7,73.73$\pm$2.86,82.16$\pm$2.16,77.69$\pm$2.17,0$\pm$0,0$\pm$0,0$\pm$0
